item_col,year,item_idx,alpha_mean,alpha_sd,alpha_pct05,alpha_pct50,alpha_pct95,beta_mean,beta_sd,beta_pct05,beta_pct50,beta_pct95
ALC_con_A_1991,1991,1,2.9500868173200114,0.3872494074648664,2.39105445,2.9143464999999997,3.6391311799999992,1.3637155307556645,0.6513531941372909,0.36856011,1.33072935,2.4878257399999995
CGOV_con_B_1991,1991,2,2.5531627888299946,0.27579089138205243,2.137260775,2.5340612,3.03340103,0.9837692390449789,0.5042183757332291,0.18137790550000002,0.962236785,1.8455188599999994
CGOV_con_F_1991,1991,3,2.0903715077500022,0.1844303432548879,1.8044795699999998,2.08188875,2.41120175,0.3057876703887675,0.3998845434444574,-0.3279210495,0.29493207499999996,0.9792285869999997
CGOV_str_A_1991,1991,4,2.9152098974299965,0.3764675894373933,2.372969345,2.8784333,3.5905488549999998,0.8485153671837031,0.6693281648986398,-0.1846864165,0.80729451,2.003194235
CGOV_str_C_1991,1991,5,3.8873833536600095,0.8465492788602078,2.7491406400000002,3.75669005,5.478963875,1.4737370476341043,1.2519427402449632,-0.412608399,1.39292595,3.6542142349999995
CGOV_str_X_1991,1991,6,2.6236141275100002,0.28711935899420116,2.19605731,2.6008447500000003,3.124122689999999,0.7309738264798988,0.5351289558453949,-0.09977493065,0.7122129,1.6456139549999997
COM_con_B_1991,1991,7,2.8683310374900017,0.3471084160357842,2.35277289,2.8408113,3.49216744,1.4892149502255625,0.5835738568477699,0.5866531745000001,1.4602731,2.485438379999999
COM_con_D_1991,1991,8,2.935873807460002,0.3786740939635528,2.3823530450000003,2.90286545,3.61502798,1.3239788522819083,0.6339241882527156,0.3380950185,1.28721095,2.423748379999999
COM_con_X_1991,1991,9,3.2654714898299964,0.48856134546236407,2.5537555750000003,3.21381095,4.150303849999999,1.6406215262530226,0.7786158680474025,0.4466791255,1.5913479000000001,3.0077119699999995
COM_str_A_1991,1991,10,1.2336258595199978,0.09795156247674021,1.0765614799999998,1.2312061,1.3999806099999998,0.10544771284674903,0.22353810920013148,-0.25743705499999997,0.104189485,0.4806909024999999
COM_str_B_1991,1991,11,1.8083792086000017,0.15629957485116278,1.565092945,1.8017239,2.07736468,1.6358990296530034,0.3007772269718888,1.164927815,1.62563105,2.14728414
COM_str_C_1991,1991,12,1.9492427013100033,0.1694715973945416,1.68375343,1.9427162,2.23618448,1.6531792865730033,0.3187873559734206,1.1428462849999999,1.645461,2.18848641
COM_str_X_1991,1991,13,2.447872696980008,0.23910011497732328,2.092270065,2.4274347499999998,2.8707216599999996,0.16246656867419043,0.4995444406706775,-0.625748274,0.142593815,1.0055539049999997
